BAC,recid,treat,run,runint
.289,.30894309,1,.20900001,.20900001
.28999999,.16551724,1,.20999999,.20999999
.29100001,.16901408,1,.21100001,.21100001
.292,.23489933,1,.212,.212
.29300001,.20155039,1,.21300001,.21300001
.294,.152,1,.214,.214
.29499999,.13,1,.21499999,.21499999
.296,.23893805,1,.21600001,.21600001
.29699999,.2,1,.21699999,.21699999
.29800001,.20168068,1,.21800001,.21800001
.29899999,.18181819,1,.219,.219
.30000001,.22935779,1,.22000001,.22000001
.301,.19607843,1,.221,.221
.30199999,.20175439,1,.22199999,.22199999
.303,.22608696,1,.223,.223
.30399999,.17045455,1,.22399999,.22399999
.30500001,.25974026,1,.22500001,.22500001
.30599999,.23364486,1,.226,.226
.30700001,.22471911,1,.22700001,.22700001
.308,.10465116,1,.228,.228
.30899999,.2,1,.22899999,.22899999
.31,.21621622,1,.23,.23
.31099999,.14285715,1,.23099999,.23099999
.31200001,.13235295,1,.23200001,.23200001
.31299999,.20289855,1,.233,.233
.31400001,.17647059,1,.23400001,.23400001
.315,.20588236,1,.235,.235
.31600001,.078431375,1,.23600002,.23600002
.317,.17741935,1,.237,.237
.31799999,.21538462,1,.23799999,.23799999
.31900001,.2,1,.23900001,.23900001
.31999999,.23999999,1,.23999999,.23999999
.32100001,.14583333,1,.24100001,.24100001
.322,.18333334,1,.242,.242
.32300001,.17391305,1,.24300002,.24300002
.324,.14814815,1,.244,.244
.32499999,.06666667,1,.24499999,.24499999
.32600001,.12195122,1,.24600001,.24600001
.32699999,.21052632,1,.24699999,.24699999
.32800001,.15151516,1,.24800001,.24800001
.329,.18181819,1,.249,.249
.33000001,.125,1,.25,.25
.331,.21276596,1,.25099999,.25099999
.33199999,.11538462,1,.25199997,.25199997
.333,.19148937,1,.25299999,.25299999
.33399999,.11538462,1,.25399998,.25399998
.33500001,.19354838,1,.255,.255
.336,.1388889,1,.25599998,.25599998
.33700001,.2857143,1,.257,.257
.338,.24137931,1,.25799999,.25799999
.33899999,.064516127,1,.25899997,.25899997
.34,.2631579,1,.25999999,.25999999
.34099999,.17647059,1,.26099998,.26099998
.34200001,.15789473,1,.26199999,.26199999
.34299999,.25925925,1,.26299998,.26299998
.34400001,.083333336,1,.264,.264
.345,.2857143,1,.26499999,.26499999
.34599999,.13793103,1,.26599997,.26599997
.347,.22727273,1,.26699999,.26699999
.34799999,.06666667,1,.26799998,.26799998
.34900001,.11111111,1,.26899999,.26899999
.34999999,.21052632,1,.26999998,.26999998
.35100001,.1875,1,.271,.271
.352,.21428572,1,.27199998,.27199998
.35299999,.083333336,1,.27299997,.27299997
.354,0,1,.27399999,.27399999
.35499999,.26666668,1,.27499998,.27499998
.35600001,.22222222,1,.27599999,.27599999
.35699999,.17647059,1,.27699998,.27699998
.35800001,.30769232,1,.278,.278
.359,.23076923,1,.27899998,.27899998
.36000001,.33333334,1,.28,.28
.361,.5,1,.28099999,.28099999
.36199999,.21428572,1,.28199998,.28199998
.36300001,0,1,.28299999,.28299999
.36399999,.2857143,1,.28399998,.28399998
.36500001,.25,1,.285,.285
.366,.1,1,.28599998,.28599998
.36700001,.071428575,1,.287,.287
.368,.2857143,1,.28799999,.28799999
.36899999,0,1,.28899997,.28899997
.37,.2,1,.28999999,.28999999
.37099999,.25,1,.29099998,.29099998
.37200001,.2857143,1,.292,.292
.373,.16666667,1,.29299998,.29299998
.37400001,.25,1,.294,.294
.375,.11111111,1,.29499999,.29499999
.37599999,.16666667,1,.29599997,.29599997
.377,.125,1,.29699999,.29699999
.37799999,0,1,.29799998,.29799998
.37900001,.33333334,1,.29899999,.29899999
.38,.33333334,1,.29999998,.29999998
.38100001,.40000001,1,.301,.301
.382,.125,1,.30199999,.30199999
.38299999,0,1,.30299997,.30299997
.384,.2,1,.30399999,.30399999
.38499999,.5,1,.30499998,.30499998
.38600001,0,1,.30599999,.30599999
.38699999,.5,1,.30699998,.30699998
.38800001,0,1,.308,.308
.389,0,1,.30899999,.30899999
.38999999,.25,1,.30999997,.30999997
.391,0,1,.31099999,.31099999
.39199999,0,1,.31199998,.31199998
.39300001,.14285715,1,.31299999,.31299999
.39399999,.33333334,1,.31399998,.31399998
.39500001,0,1,.315,.315
.396,0,1,.31599998,.31599998
